season,Week,Away Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2012,10,Kc,Pt,Pt,Pt,Pt,Pt,Pt
2012,10,Jt,Se,Se,Se,Se,Se,Se
2012,10,Sl,Sf,Sf,Sf,Sf,Sf,TIE
2012,10,Sd,Tb,Tb,Tb,Tb,Sd,Tb
2012,10,Tn,Mi,Mi,Mi,Mi,Mi,Tn
2012,11,Az,At,At,At,At,At,At
2012,11,Ba,Pt,Pt,Pt,Pt,Ba,Ba
2012,11,Mi,Bu,Bu,Mi,Bu,Bu,Bu
2012,11,Cn,Kc,Kc,Cn,Cn,Cn,Cn
2012,11,Cl,Da,Da,Da,Da,Da,Da
2012,11,Sd,Dn,Dn,Dn,Dn,Dn,Dn
2012,11,Gb,Dt,Dt,Gb,Gb,Gb,Gb
2012,11,Jk,Ho,Ho,Ho,Ho,Ho,Ho
2012,11,Jt,Sl,Sl,Jt,Jt,Sl,Jt
2012,11,In,Ne,Ne,Ne,Ne,Ne,Ne
2012,11,No,Oa,Oa,No,Oa,No,No
2012,11,Ch,Sf,Sf,Sf,Sf,Sf,Sf
2012,11,Tb,Ca,Ca,Tb,Ca,Tb,Tb
2012,11,Ph,Wa,Wa,Wa,Wa,Wa,Wa
2012,12,At,Tb,Tb,At,At,At,At
2012,12,Ba,Sd,Sd,Ba,Ba,Ba,Ba
2012,12,Ca,Ph,Ph,Ph,Ph,Ph,Ca
2012,12,Mn,Ch,Ch,Ch,Ch,Ch,Ch
2012,12,Pt,Cl,Cl,Pt,Pt,Pt,Cl
2012,12,Oa,Cn,Cn,Cn,Oa,Cn,Cn
2012,12,Dn,Kc,Kc,Dn,Dn,Dn,Dn
2012,12,Gb,Gi,Gi,Gi,Gb,Gb,Gi
2012,12,Ho,Dt,Dt,Ho,Ho,Ho,Ho
2012,12,Bu,In,In,In,Bu,In,In
2012,12,Tn,Jk,Jk,Jk,Jk,Tn,Jk
2012,12,Se,Mi,Mi,Se,Se,Mi,Mi
2012,12,Ne,Jt,Jt,Ne,Ne,Ne,Ne
2012,12,Sf,No,No,No,Sf,No,Sf
2012,12,Sl,Az,Az,Az,Az,Az,Sl
2012,12,Wa,Da,Da,Wa,Wa,Da,Wa
2012,13,No,At,At,At,At,At,At
2012,13,Jk,Bu,Bu,Bu,Bu,Bu,Bu
2012,13,Cl,Oa,Oa,Oa,Oa,Cl,Cl
2012,13,Cn,Sd,Sd,Sd,Sd,Sd,Cn
2012,13,Ph,Da,Da,Da,Da,Da,Da
2012,13,Tb,Dn,Dn,Dn,Dn,Tb,Dn
2012,13,Mn,Gb,Gb,Gb,Gb,Gb,Gb
2012,13,Ho,Tn,Tn,Ho,Ho,Ho,Ho
2012,13,In,Dt,Dt,Dt,Dt,In,In
2012,13,Az,Jt,Jt,Az,Jt,Az,Jt
2012,13,Ca,Kc,Kc,Ca,Ca,Kc,Kc
2012,13,Ne,Mi,Mi,Ne,Ne,Ne,Ne
2012,13,Pt,Ba,Ba,Ba,Ba,Ba,Pt
2012,13,Se,Ch,Ch,Ch,Ch,Ch,Se
2012,13,Sf,Sl,Sl,Sf,Sf,Sf,Sl
2012,13,Gi,Wa,Wa,Wa,Gi,Wa,Wa
2012,14,At,Ca,Ca,At,At,At,Ca
2012,14,Kc,Cl,Cl,Cl,Cl,Cl,Cl
2012,14,Da,Cn,Cn,Cn,Da,Cn,Da
2012,14,Dn,Oa,Oa,Dn,Dn,Dn,Dn
2012,14,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2012,14,No,Gi,Gi,No,Gi,Gi,Gi
2012,14,Tn,In,In,In,In,In,In
2012,14,Jt,Jk,Jk,Jt,Jt,Jk,Jt
2012,14,Ch,Mn,Mn,Mn,Ch,Ch,Mn
2012,14,Ho,Ne,Ne,Ne,Ne,Ne,Ne
2012,14,Ph,Tb,Tb,Tb,Tb,Tb,Ph
2012,14,Sd,Pt,Pt,Pt,Pt,Pt,Sd
2012,14,Az,Se,Se,Se,Se,Se,Se
2012,14,Mi,Sf,Sf,Sf,Sf,Sf,Sf
2012,14,Sl,Bu,Bu,Bu,Bu,Bu,Sl
2012,14,Ba,Wa,Wa,Wa,Ba,Wa,Wa
2012,15,Gi,At,At,At,At,Gi,At
2012,15,Dt,Az,Az,Dt,Dt,Az,Az
2012,15,Ca,Sd,Sd,Ca,Ca,Sd,Ca
2012,15,Cn,Ph,Ph,Cn,Cn,Cn,Cn
2012,15,Pt,Da,Da,Pt,Pt,Da,Da
2012,15,Dn,Ba,Ba,Dn,Ba,Ba,Dn
2012,15,Gb,Ch,Ch,Gb,Gb,Gb,Gb
2012,15,In,Ho,Ho,Ho,Ho,Ho,Ho
2012,15,Jk,Mi,Mi,Mi,Mi,Mi,Mi
2012,15,Mn,Sl,Sl,Mn,Sl,Sl,Mn
2012,15,Tb,No,No,Tb,No,Tb,No
2012,15,Kc,Oa,Oa,Oa,Oa,Oa,Oa
2012,15,Se,Bu,Bu,Se,Se,Se,Se
2012,15,Sf,Ne,Ne,Ne,Ne,Ne,Sf
2012,15,Jt,Tn,Tn,Tn,Jt,Jt,Tn
2012,15,Wa,Cl,Cl,Wa,Wa,Wa,Wa
2012,16,At,Dt,Dt,At,At,At,At
2012,16,Gi,Ba,Ba,Ba,Ba,Ba,Ba
2012,16,Oa,Ca,Ca,Ca,Ca,Ca,Ca
2012,16,Ch,Az,Az,Ch,Ch,Ch,Ch
2012,16,Cn,Pt,Pt,Pt,Pt,Pt,Cn
2012,16,Cl,Dn,Dn,Dn,Dn,Dn,Dn
2012,16,Tn,Gb,Gb,Gb,Gb,Gb,Gb
2012,16,In,Kc,Kc,In,In,In,In
2012,16,Bu,Mi,Mi,Mi,Bu,Mi,Mi
2012,16,Mn,Ho,Ho,Ho,Ho,Ho,Mn
2012,16,Ne,Jk,Jk,Ne,Ne,Ne,Ne
2012,16,No,Da,Da,No,No,Da,No
2012,16,Sd,Jt,Jt,Jt,Jt,Sd,Sd
2012,16,Sf,Se,Se,Se,Sf,Sf,Se
2012,16,Sl,Tb,Tb,Tb,Tb,Tb,Sl
2012,16,Wa,Ph,Ph,Wa,Wa,Wa,Wa
2012,17,Jt,Bu,Bu,Bu,Bu,Bu,Bu
2012,17,Ca,No,No,No,Ca,No,Ca
2012,17,Ch,Dt,Dt,Dt,Ch,Ch,Ch
2012,17,Ba,Cn,Cn,Cn,Ba,Ba,Cn
2012,17,Kc,Dn,Dn,Dn,Dn,Dn,Dn
2012,17,Ph,Gi,Gi,Gi,Gi,Gi,Gi
2012,17,Ho,In,In,Ho,Ho,Ho,In
2012,17,Gb,Mn,Mn,Gb,Gb,Gb,Mn
2012,17,Mi,Ne,Ne,Ne,Ne,Ne,Ne
2012,17,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2012,17,Oa,Sd,Sd,Sd,Sd,Sd,Sd
2012,17,Sl,Se,Se,Se,Se,Se,Se
2012,17,Az,Sf,Sf,Sf,Sf,Sf,Sf
