season,Waeek,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2008,16,Cn,Cl,Cl,Cl,Cn,Cl,Cn
2008,16,Ca,Gi,Gi,Gi,Gi,Gi,Gi
2008,16,In,Jk,In,In,In,In,In
2008,16,Mi,Kc,Mi,Mi,Kc,Mi,Mi
2008,16,Az,Ne,Ne,Ne,Ne,Ne,Ne
2008,16,No,Dt,No,No,No,No,No
2008,16,Ho,Oa,Ho,Ho,Oa,Ho,Oa
2008,16,Sd,Tb,Tb,Sd,Sd,Tb,Sd
2008,16,Jt,Se,Jt,Jt,Se,Jt,Se
2008,16,Sf,Sl,Sf,Sf,Sl,Sf,Sf
2008,16,Pt,Tn,Tn,Tn,Pt,Pt,Tn
2008,16,Ph,Wa,Ph,Ph,Wa,Ph,Wa
2008,17,Sl,At,At,At,At,At,At
2008,17,Se,Az,Az,Az,Az,Az,Az
2008,17,Jk,Ba,Ba,Ba,Ba,Ba,Ba
2008,17,Ca,No,Ca,Ca,Ca,Ca,Ca
2008,17,Kc,Cn,Cn,Cn,Cn,Cn,Cn
2008,17,Dt,Gb,Gb,Gb,Gb,Gb,Gb
2008,17,Ch,Ho,Ho,Ho,Ho,Ch,Ho
2008,17,Tn,In,Tn,Tn,Tn,In,In
2008,17,Mi,Jt,Jt,Jt,Jt,Jt,Mi
2008,17,Gi,Mn,Mn,Gi,Gi,Mn,Mn
2008,17,Ne,Bu,Ne,Ne,Ne,Ne,Ne
2008,17,Oa,Tb,Tb,Tb,Tb,Tb,Oa
2008,17,Da,Ph,Ph,Ph,Da,Ph,Ph
2008,17,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2008,17,Dn,Sd,Sd,Dn,Sd,Sd,Sd
2008,17,Wa,Sf,Wa,Wa,Wa,Wa,Sf
2008,18,At,Az,Az,At,At,At,Az
2008,18,Az,Ca,Ca,Ca,Az,Ca,Az
2008,18,Ph,Az,Ph,Ph,Az,Ph,Az
2008,18,Ba,Mi,Ba,Mi,Ba,Mi,Ba
2008,18,Ba,Tn,Tn,Tn,Tn,Tn,Ba
2008,18,Ph,Mn,Mn,Ph,Mn,Mn,Ph
2008,18,Ph,Gi,Gi,Gi,Gi,Gi,Ph
2008,18,Sd,Pt,Sd,Sd,Pt,Pt,Pt
2008,18,Ba,Pt,Pt,Ba,Pt,Pt,Pt
2008,18,Az,Pt,Pt,Az,Pt,Pt,Pt
2008,18,In,Sd,Sd,In,Sd,Sd,Sd
