season,Week,AWaay Team,Home Team,Gel,Hector,Emilio,Sonny,ganador
2011,10,Ho,Tb,Tb,Ho,Ho,Tb,Ho
2011,10,Jk,In,Jk,Jk,In,Jk,Jk
2011,10,Wa,Mi,Wa,Mi,Mi,Mi,Mi
2011,10,Ne,Jt,Ne,Ne,Ne,Ne,Ne
2011,10,No,At,No,No,No,At,No
2011,10,Oa,Sd,Sd,Sd,Oa,Sd,Oa
2011,10,Pt,Cn,Pt,Pt,Pt,Pt,Pt
2011,10,Ba,Se,Ba,Ba,Ba,Ba,Se
2011,10,Gi,Sf,Gi,Sf,Sf,Sf,Sf
2011,10,Sl,Cl,Cl,Cl,Cl,Cl,Sl
2011,10,Tn,Ca,Tn,Ca,Ca,Ca,Tn
2011,11,Tn,At,At,At,At,At,At
2011,11,Cn,Ba,Ba,Ba,Ba,Ba,Ba
2011,11,Sd,Ch,Ch,Ch,Ch,Ch,Ch
2011,11,Jk,Cl,Cl,Cl,Cl,Cl,Cl
2011,11,Da,Wa,Da,Da,Da,Da,Da
2011,11,Jt,Dn,Jt,Dn,Dn,Jt,Dn
2011,11,Ca,Dt,Dt,Dt,Dt,Dt,Dt
2011,11,Tb,Gb,Gb,Gb,Gb,Gb,Gb
2011,11,Bu,Mi,Mi,Bu,Bu,Bu,Mi
2011,11,Kc,Ne,Ne,Ne,Ne,Ne,Ne
2011,11,Oa,Mn,Mn,Mn,Oa,Oa,Oa
2011,11,Ph,Gi,Gi,Gi,Gi,Gi,Ph
2011,11,Se,Sl,Se,Sl,Se,Sl,Se
2011,11,Az,Sf,Sf,Sf,Sf,Sf,Sf
2011,12,Mn,At,At,At,At,At,At
2011,12,Az,Sl,Sl,Sl,Sl,Sl,Az
2011,12,Sf,Ba,Ba,Ba,Ba,Ba,Ba
2011,12,Ca,In,In,Ca,Ca,Ca,Ca
2011,12,Cl,Cn,Cn,Cl,Cn,Cn,Cn
2011,12,Mi,Da,Da,Da,Mi,Da,Da
2011,12,Dn,Sd,Sd,Dn,Sd,Sd,Dn
2011,12,Gb,Dt,Gb,Gb,Gb,Gb,Gb
2011,12,Ho,Jk,Ho,Ho,Ho,Ho,Ho
2011,12,Bu,Jt,Jt,Jt,Jt,Jt,Jt
2011,12,Ne,Ph,Ne,Ne,Ne,Ne,Ne
2011,12,Gi,No,No,No,Gi,Gi,No
2011,12,Ch,Oa,Ch,Ch,Oa,Oa,Oa
2011,12,Pt,Kc,Pt,Pt,Pt,Pt,Pt
2011,12,Tb,Tn,Tn,Tn,Tb,Tn,Tn
2011,12,Wa,Se,Se,Se,Wa,Se,Wa
2011,13,Da,Az,Da,Da,Da,Da,Az
2011,13,Ba,Cl,Ba,Ba,Ba,Ba,Ba
2011,13,Ca,Tb,Tb,Tb,Tb,Tb,Ca
2011,13,Dn,Mn,Dn,Dn,Dn,Dn,Dn
2011,13,Gb,Gi,Gb,Gb,Gb,Gb,Gb
2011,13,At,Ho,Ho,Ho,Ho,Ho,Ho
2011,13,Jt,Wa,Jt,Jt,Jt,Jt,Jt
2011,13,Kc,Ch,Ch,Ch,Ch,Ch,Kc
2011,13,Oa,Mi,Oa,Mi,Oa,Mi,Mi
2011,13,In,Ne,Ne,Ne,Ne,Ne,Ne
2011,13,Dt,No,No,No,No,No,No
2011,13,Cn,Pt,Pt,Pt,Pt,Pt,Pt
2011,13,Sd,Jk,Sd,Jk,Sd,Sd,Sd
2011,13,Ph,Se,Ph,Se,Ph,Ph,Se
2011,13,Sl,Sf,Sf,Sf,Sf,Sf,Sf
2011,13,Tn,Bu,Tn,Tn,Bu,Bu,Tn
2011,14,At,Ca,At,Ca,At,At,At
2011,14,Sf,Az,Sf,Sf,Sf,Sf,Az
2011,14,In,Ba,Ba,Ba,Ba,Ba,Ba
2011,14,Ch,Dn,Dn,Dn,Dn,Dn,Dn
2011,14,Mn,Dt,Dt,Dt,Dt,Dt,Dt
2011,14,Oa,Gb,Gb,Gb,Gb,Gb,Gb
2011,14,Gi,Da,Da,Gi,Da,Da,Gi
2011,14,Ho,Cn,Ho,Ho,Ho,Ho,Ho
2011,14,Tb,Jk,Jk,Tb,Tb,Tb,Jk
2011,14,Kc,Jt,Jt,Jt,Jt,Jt,Jt
2011,14,Ne,Wa,Ne,Ne,Ne,Ne,Ne
2011,14,No,Tn,No,No,No,No,No
2011,14,Ph,Mi,Mi,Mi,Mi,Mi,Ph
2011,14,Cl,Pt,Pt,Pt,Pt,Pt,Pt
2011,14,Bu,Sd,Sd,Bu,Sd,Sd,Sd
2011,14,Sl,Se,Se,Sl,Se,Se,Se
2011,15,Jk,At,At,At,At,At,At
2011,15,Cl,Az,Az,Az,Az,Az,Az
2011,15,Ca,Ho,Ho,Ho,Ho,Ho,Ca
2011,15,Cn,Sl,Cn,Cn,Cn,Cn,Cn
2011,15,Da,Tb,Da,Da,Da,Da,Da
2011,15,Dt,Oa,Dt,Dt,Oa,Dt,Dt
2011,15,Tn,In,Tn,Tn,Tn,Tn,In
2011,15,Gb,Kc,Gb,Gb,Gb,Gb,Kc
2011,15,Mi,Bu,Bu,Bu,Mi,Bu,Mi
2011,15,Ne,Dn,Ne,Dn,Dn,Ne,Ne
2011,15,No,Mn,No,No,No,No,No
2011,15,Jt,Ph,Jt,Ph,Ph,Ph,Ph
2011,15,Ba,Sd,Ba,Ba,Ba,Sd,Sd
2011,15,Se,Ch,Ch,Ch,Ch,Ch,Se
2011,15,Pt,Sf,Sf,Sf,Pt,Pt,Sf
2011,15,Wa,Gi,Gi,Gi,Gi,Gi,Wa
2011,16,Cl,Ba,Ba,Ba,Ba,Ba,Ba
2011,16,Dn,Bu,Dn,Dn,Dn,Dn,Bu
2011,16,Tb,Ca,Ca,Ca,Ca,Ca,Ca
2011,16,Az,Cn,Cn,Cn,Cn,Az,Cn
2011,16,Sd,Dt,Dt,Dt,Sd,Sd,Dt
